date;tonepr;rate_shock_abs;rate_shock_rel;close;spread;toneev;year;trans;trust
2013-10-14;-3.9663142380360257;0.0;0.0;126.04;-0.031730922049533206;;2013.0;3.5;
2013-11-08;-4.879730164752349;0.0;0.0;126.46;-0.1659226865073471;;2013.0;3.5;
2013-12-13;-4.583010579059484;0.0;0.0;126.46;0.01581652830502378;;2013.0;3.5;
2014-02-14;-7.115753204379045;0.0;0.0;126.93;0.10247113969610311;-8.935623510196278;2014.0;6.2;0.36
2014-03-03;-3.6033172251667085;0.0;0.0;124.82;-0.17609866073247105;;2014.0;6.2;0.36
2014-03-14;-8.123946743760223;0.0;0.0;122.27;0.7058466600215141;;2014.0;6.2;0.36
2014-04-25;-6.852045907510162;0.5;0.07142857142857142;122.61;-0.3663455068048549;;2014.0;6.2;0.36
2014-06-16;-6.204978674133912;0.0;0.0;126.78;-0.10248729660533584;-8.390548496021786;2014.0;6.2;0.36
2014-07-25;-5.930010197789854;0.5;0.06666666666666667;125.28;-0.31877617048730045;;2014.0;6.2;0.36
2014-09-12;-5.80073801013683;0.0;0.0;125.13;-0.047938639460731736;-7.212114985002717;2014.0;6.2;0.36
2014-10-31;-7.8620151245781535;1.5;0.1875;124.79;-0.008013141556428849;;2014.0;6.2;0.36
2014-12-11;-6.766651719138959;1.0;0.10526315789473684;114.94;-1.3824308635332017;-9.310849410836532;2014.0;6.2;0.36
2014-12-16;-2.1958892020342677;0.0;0.0;109.39;4.01023522541939;;2014.0;6.2;0.36
2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;113.17;0.8964689691570271;;2015.0;7.2;0.46
2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;117.15;-0.5193490026761616;-8.869886752654205;2015.0;7.2;0.46
2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;129.06;0.7075959697613321;;2015.0;7.2;0.46
2015-06-15;-6.702271100625785;-1.0;-0.08;130.91;-0.4116486983882339;-9.070159373225193;2015.0;7.2;0.46
2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;132.52;-0.2261250680872351;;2015.0;7.2;0.46
2015-09-11;-5.917393391912702;0.0;0.0;128.85;0.16311316677173338;-7.572947587883636;2015.0;7.2;0.46
2015-10-30;-5.713729522307707;0.0;0.0;136.68;0.06586892322903992;;2015.0;7.2;0.46
2015-12-11;-6.165860047144953;0.0;0.0;137.53;-0.4787474688776605;-9.343946130718301;2015.0;7.2;0.46
2016-01-29;-6.873474388452071;0.0;0.0;137.69;-0.21764373071819776;;2016.0;7.3;0.42
2016-03-18;-5.701132764428126;0.0;0.0;142.37;-0.028091860568224547;-8.11760735565921;2016.0;7.3;0.42
2016-04-29;-4.285522624905351;0.0;0.0;143.63;-0.04176527973838162;;2016.0;7.3;0.42
